"Last updated September 19, 2017", , , , , 
Courtney Upshaw,Upshaw left the previous game with an ankle injury and his availability against the Lions on Sunday is in question.,Ankle,questionable,ATL,DT
Ryan Schraeder,Schraeder left the last game due to a concussion and it is unclear if he will be able to pass protocol before Sunday's contest against the Lions.,Concussion,questionable,ATL,T
Austin Pasztor,Pasztor was held out of the last game with a chest injury and his status is unclear for Sunday's matchup against the Lions.,Chest,questionable,ATL,OL
Brian Hill,Hill sat out the last game due to an ankle injury and his status is unknown against the Lions on Sunday.,Ankle,questionable,ATL,RB
Vic Beasley,Beasley suffered a slight tear in his left hamstring and is expected to miss at least a month of game action.,Hamstring,out,ATL,LB
Quincy Mauger,Mauger has been placed on the injured reserve list with a knee injury and it is unclear if he will return November 12 against the Cowboys.,Knee,I-R,ATL,S
LaRoy Reynolds,Reynolds is battling a pectoral injury and is on the injured reserve list. It is uncertain if he will come off of the IR during Week 9 against the Panthers.,Pectoral,I-R,ATL,LB
Jalen Collins,Collins has been issued a 10-game suspension for violating the NFL's Performance Enhancing Drugs policy but is expected to be available against the Buccaneers on November 26.,Suspension,out,ATL,CB
Cordy Glenn,Glenn left the last game with an ankle injury and his status Sunday against the Broncos is unknown.,Ankle,questionable,BUF,T
Jerel Worthy,Worthy is in the league's concussion protocol and did not play in the last two games. It is undetermined if he will play in Sunday's contest against the Broncos.,Concussion,questionable,BUF,DT
Walt Powell,Powell has been suspended four games for violating the league's policy on performance-enhancing drugs and is recovering from a torn meniscus. He will likely be recovered from the knee injury by the end of September but will only be eligible to play Octobe,Suspension,out,BUF,WR
Seantrel Henderson,Henderson will miss the first five games of the season as part of a previous 10-game suspension for violating the league's substance abuse policy. He is expected to be available Week 7 against the Buccaneers.,Suspension,out,BUF,T
Keith Towbridge,Towbridge has been designated for injured reserve with an ankle injury.,Ankle,I-R,BUF,TE
Greg Olsen,Olsen is on injured reserve with a fractured right foot and will be eligible to be activated against the Jets on November 26.,Foot,I-R,CAR,TE
Jeremy Cash,Cash sat out the previous game with a knee injury and it is unknown if he will return Sunday against the Saints.,Knee,questionable,CAR,LB
Cam Newton,Newton is expected to be available against the Saints on Sunday despite hurting his ankle in the last game.,Ankle,probable,CAR,QB
Matt Kalil,Kalil is nursing a neck injury and did not play in the last game. It is unclear if he will be ready for Sunday's matchup against the Saints.,Neck,questionable,CAR,T
Cole Luke,Luke has been placed on the injured reserve list with an ankle injury and it is unclear if he will return November 13 against the Dolphins.,Ankle,I-R,CAR,CB
Corn Elder,Elder has has been placed on the injured reserve list with a patella stress fracture in his knee.,Knee,I-R,CAR,CB
Dan France,France has been placed on the injured reserve with a concussion.,Concussion,I-R,CAR,T
Teddy Williams,Williams has been placed on the injured reserve with a left arm injury.,Arm,I-R,CAR,CB
Drew Iddings,Iddings has been placed on injured reserve with a shoulder injury.,Shoulder,I-R,CAR,DT
Charles Johnson,Johnson has landed on the injured reserve list as he underwent surgery to repair a back injury.,Back,I-R,CAR,WR
Tom Compton,Compton exited the last game with hip injury and it is unknown if he will play against the Steelers on Sunday.,Hip,questionable,CHI,T
Prince Amukamara,Amukamara has been held out of the past two games with an ankle injury and it is undecided if he will return against the Steelers on Sunday.,Ankle,questionable,CHI,CB
Markus Wheaton,Wheaton has a broken finger on his left hand and his status for Sunday's contest against the Steelers is up in the air.,Finger,questionable,CHI,WR
Kyle Long,Long is recovering from ankle surgery and it is unknown if he will make his season debut against the Steelers on Sunday.,Ankle,questionable,CHI,G
Benny Cunningham,"Cunningham sat out the previous game with an high-ankle sprain, leaving his status unclear against the Steelers on Sunday.",Ankle,questionable,CHI,RB
Deon Bush,Bush missed the last game with a hamstring injury and it is unknown if the injury will prevent him from suiting up Sunday against the Steelers.,Hamstring,questionable,CHI,S
Josh Sitton,"Sitton left the previous game with a rib injury, leaving his availability unclear for Sunday's contest against the Steelers.",Ribs,questionable,CHI,G
Jordan Howard,Howard sustained a right shoulder injury and his status for Sunday's game against the Steelers is uncertain.,Shoulder,questionable,CHI,RB
Nick Kwiatkoski,Kwiatkoski suffered a pectoral injury and will miss a substantial amount of time.,Pectoral,out,CHI,LB
Jerrell Freeman,Freeman has landed on injured reserve with a concussion and a pectoral injury. He will be eligible to be activated against the Lions on November 19.,Concussion,I-R,CHI,LB
Kevin White,White suffered a broken shoulder blade and is on the injured reserve list.,Shoulder,I-R,CHI,WR
Patrick Scales,Scales is on the injured reserve list with a torn ACL.,Knee,I-R,CHI,LS
Deiondre' Hall,Hall is incapacitated due to a hamstring injury and it is uncertain if he will be activated against the Packers.,Hamstring,I-R,CHI,DB
Cameron Meredith,Meredith suffered a torn ACL and a slightly torn MCL his left knee. He is on the injured reserve list as a result.,Knee,I-R,CHI,WR
Eric Kush,Kush will undergo surgery to fix a torn hamstring and is on the injured reserve list.,Hamstring,I-R,CHI,OL
Tyler Eifert,Eifert is not expected to partake in Sunday's game against the Packers due to back and knee injuries.,Back,doubtful,CIN,TE
Tyler Boyd,Boyd sat out the previous game due to tightness in his hamstring and his status against the Packers on Sunday is unknown.,Hamstring,questionable,CIN,WR
Adam Jones,Jones departed the previous game with an injury to his right arm and his availability against the Packers on Sunday is in question.,Arm,questionable,CIN,CB
C.J. Uzomah,Uzomah has been held out of the past two games due to an ankle injury and his status against the Packers on Sunday is unclear.,Ankle,questionable,CIN,TE
Vincent Rey,"Rey left the previous game with a stinger, leaving his status unclear for Sunday's contest against the Packers.",Stinger,questionable,CIN,LB
Michael Johnson,Johnson was absent from the lineup during the last game due to a concussion it is unclear if he will clear protocol in time for Sunday's matchup against the Packers.,Concussion,questionable,CIN,DE
Jeff Driskel,Driskel has a thumb injury and is on injured reserve. It is unknown if he will be activated against the Jaguars on November 5.,Thumb,I-R,CIN,QB
Trey Hopkins,Hopkins suffered a knee injury and there is no timetable for return.,Knee,out,CIN,G
Tra Carson,Carson has been placed on the injured reserve list with an ankle injury.,Ankle,I-R,CIN,HB
Mason Schreck,Schreck has a knee injury and is on the injured reserve list.,Knee,I-R,CIN,TE
Vontaze Burfict,Burfict has been issued a three-game suspension for an egregious hit during a preseason game but is expected to be available October 1 against the Browns.,Suspension,out,CIN,LB
Cedric Peerman,Peerman has landed on injured reserve due to a shoulder injury.,Shoulder,I-R,CIN,HB
Jake Kumerow,Kumerow has been placed on the injured reserve with a leg injury.,Leg,I-R,CIN,WR
T.Y. McGill,McGill missed the last game due to a back injury and his status Sunday against the Colts is unknown.,Back,questionable,CLE,DL
Corey Coleman,Coleman is on the injured reserve list after having surgery to fix a fractured metacarpal in his right hand and it is unclear if he will be activated November 19 against the Jaguars.,Hand,I-R,CLE,WR
Jamie Collins,Colins Sr. suffered a concussion and it is undetermined if he will suit up against the Colts on Sunday.,Concussion,questionable,CLE,LB
Myles Garrett,Garrett suffered a high-ankle sprain in practice and is expected to be sidelined four-to-six weeks.,Ankle,out,CLE,DL
Roderick Johnson,Johnson has been designated for injured reserve with a sprained MCL and meniscus injury.,Knee,I-R,CLE,OL
Howard Wilson,Wilson is on the PUP list due to a fractured kneecap and it is unclear if he will return Week 7 against the Titans.,Knee,I-R,CLE,DB
Darius Jackson,Jackson has been placed on injured reserve due to a knee injury.,Knee,I-R,CLE,RB
Matt McCants,McCants has an ankle injury and is on the injured reserve list.,Ankle,I-R,CLE,OL
Tank Carder,Carder suffered a torn ACL and is on injured reserve.,Knee,I-R,CLE,LB
Chris Barker,Barker has been placed on the injured reserve list with a ruptured left Achilles.,Achilles,I-R,CLE,OL
Chester Rogers,Rogers has been absent from the lineup during the previous two games due to a hamstring injury and it is undecided if he will suit up against the Browns on Sunday.,Hamstring,questionable,IND,WR
Vontae Davis,Davis is sidelined with a groin injury and it is undetermined if he will make his season debut Sunday against the Browns.,Groin,questionable,IND,CB
Darius Butler,Butler sat out the previous game with a hamstring injury and it is unknown if he will suit up against the Browns on Sunday.,Hamstring,questionable,IND,S
Anthony Walker,Walker Jr. has been held out of the the last two games due an injured hamstring and his availability against the Browns on Sunday is in question.,Hamstring,questionable,IND,LB
Ian Silberman,Silberman missed his second-straight game due to a lumbar injury and it is unknown if he will be available for Sunday's matchup against the Browns.,Back,questionable,IND,G
Antonio Morrison,Morrison missed the last game with an elbow injury and it is unclear if he will play against the Browns on Sunday.,Elbow,questionable,IND,LB
Denzelle Good,"Good has landed on injured reserve with a torn ligament in his wrist. If he is designated for return, the earliest he will be eligible to be activated is against the Steelers on November 12.",Wrist,I-R,IND,T
Andrew Luck,Luck is recuperating from surgery to repair a torn labrum in his shoulder and team officials have yet to announce an official return date.,Shoulder,out,IND,QB
Erik Swoope,Swoope had a knee scope performed and is on the injured reserve list.,Knee,I-R,IND,TE
Edwin Jackson,Jackson has been placed on the injured reserve list due to an undefined ailment.,Undisclosed,I-R,IND,LB
Chris Culliver,Culliver has a groin injury and is on the injured reserve list.,Groin,I-R,IND,CB
Christine Michael,Michael has been designated for the injured reserve list with an injury to an unannounced location.,Undisclosed,I-R,IND,RB
Clayton Geathers,Geathers is on the PUP list as he is recovering from offseason surgery to repair a neck injury and will miss the first six games of the season.,Neck,I-R,IND,S
George Winn,Winn is on the injured reserve list with an ailment to an unannounced location.,Undisclosed,I-R,IND,RB
